op1,op2,op3,sensor1,sensor2,sensor3,sensor4,sensor7,sensor8,sensor9,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,label
-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,554.36,2388.06,9046.19,47.47,521.66,2388.02,8138.62,84.195,0.03,392.0,2388.0,100.0,39.06,23.419,0
0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,553.75,2388.04,9044.07,47.49,522.28,2388.07,8131.49,84.318,0.03,392.0,2388.0,100.0,39.0,234.236,0
-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,554.26,2388.08,9052.94,47.27,522.42,2388.03,8133.23,84.178,0.03,390.0,2388.0,100.0,38.95,233.442,0
0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,554.45,2388.11,9049.48,47.13,522.86,2388.08,8133.83,83.682,0.03,392.0,2388.0,100.0,38.88,233.739,0
-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,554.0,2388.06,9055.15,47.28,522.19,2388.04,8133.8,84.294,0.03,393.0,2388.0,100.0,38.9,234.044,0
-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,554.67,2388.02,9049.68,47.16,521.68,2388.03,8132.85,84.108,0.03,391.0,2388.0,100.0,38.98,233.669,0
0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,554.34,2388.02,9059.13,47.36,522.32,2388.03,8132.32,83.974,0.03,392.0,2388.0,100.0,39.1,233.774,0
-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,553.85,2388.0,9040.8,47.24,522.47,2388.03,8131.07,84.076,0.03,391.0,2388.0,100.0,38.97,233.106,0
0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,553.69,2388.05,9046.46,47.29,521.79,2388.05,8125.69,83.728,0.03,392.0,2388.0,100.0,39.05,234.066,0
-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,553.59,2388.05,9051.7,47.03,521.79,2388.06,8129.38,84.286,0.03,393.0,2388.0,100.0,38.95,234.694,0
0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,554.54,2388.05,9049.61,47.15,521.4,2388.01,8140.58,8.434,0.03,392.0,2388.0,100.0,38.94,234.787,0
0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,554.52,2388.09,9049.37,47.18,521.8,2388.02,8134.25,83.938,0.03,391.0,2388.0,100.0,39.06,23.366,0
-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,553.44,2388.12,9046.82,47.38,521.85,2388.08,8128.1,84.152,0.03,393.0,2388.0,100.0,38.93,232.757,0
0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,554.48,2388.09,9047.37,47.44,521.67,2388.0,8134.43,83.964,0.03,393.0,2388.0,100.0,39.18,233.826,0
-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,553.64,2388.11,9052.22,47.3,522.5,2388.08,8127.56,84.199,0.03,391.0,2388.0,100.0,38.99,23.35,0
0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.5,553.94,2388.05,9049.34,47.24,521.49,2388.07,8136.11,83.936,0.03,392.0,2388.0,100.0,38.97,23.455,0
0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,553.8,2388.06,9054.92,47.12,521.89,2388.04,8137.27,84.542,0.03,392.0,2388.0,100.0,38.81,233.319,0
-0.0031,-0.0001,100.0,518.67,642.62,1591.04,1396.12,554.2,2388.05,9049.55,47.21,521.76,2388.07,8132.73,84.028,0.03,392.0,2388.0,100.0,38.89,233.987,0
0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,554.18,2388.04,9053.99,47.4,521.89,2388.03,8129.13,84.321,0.03,391.0,2388.0,100.0,38.8,233.464,0
-0.0037,0.0001,100.0,518.67,643.04,1581.11,1405.23,554.81,2388.05,9045.9,47.22,522.07,2388.02,8129.71,8.421,0.03,392.0,2388.0,100.0,39.03,23.422,0
-0.0012,0.0001,100.0,518.67,642.37,1586.07,1398.13,554.08,2388.11,9048.15,47.15,522.42,2388.08,8134.02,84.049,0.03,392.0,2388.0,100.0,39.09,233.101,0
0.0002,0.0,100.0,518.67,642.77,1592.93,1400.57,553.63,2388.04,9061.21,47.24,522.0,2388.03,8130.41,84.034,0.03,392.0,2388.0,100.0,38.92,233.792,0
0.0034,-0.0003,100.0,518.67,642.14,1588.19,1394.75,553.98,2388.05,9046.28,47.25,521.52,2388.05,8127.9,8.424,0.03,392.0,2388.0,100.0,38.94,234.562,0
-0.001,0.0003,100.0,518.67,642.38,1590.83,1398.81,553.49,2388.12,9043.76,47.44,522.13,2388.03,8133.88,83.891,0.03,392.0,2388.0,100.0,39.0,233.696,0
0.0023,-0.0004,100.0,518.67,642.77,1594.1,1399.39,554.0,2388.02,9054.16,47.36,522.56,2388.02,8136.61,83.917,0.03,393.0,2388.0,100.0,38.95,234.288,0
0.0,0.0002,100.0,518.67,642.16,1589.08,1396.07,554.11,2388.07,9047.11,47.26,522.28,2388.06,8131.15,8.426,0.03,394.0,2388.0,100.0,38.86,234.149,0
-0.0012,-0.0004,100.0,518.67,642.44,1590.47,1401.84,554.07,2388.02,9047.96,47.37,522.0,2388.13,8134.6,84.046,0.03,393.0,2388.0,100.0,38.99,234.472,0
-0.0024,0.0005,100.0,518.67,642.35,1582.84,1399.13,554.68,2388.12,9049.84,47.41,522.57,2388.08,8127.3,84.323,0.03,390.0,2388.0,100.0,39.01,232.841,0
0.0012,-0.0001,100.0,518.67,641.91,1584.83,1400.99,554.25,2388.05,9050.47,47.24,522.41,2388.06,8133.06,84.189,0.03,393.0,2388.0,100.0,38.93,233.597,0
-0.0022,0.0,100.0,518.67,642.2,1593.52,1396.08,554.37,2388.07,9045.62,47.4,522.19,2388.0,8137.86,84.065,0.03,390.0,2388.0,100.0,39.05,23.411,0
0.0014,0.0005,100.0,518.67,642.02,1584.18,1396.9,554.13,2388.08,9058.78,47.41,521.95,2388.06,8125.28,84.104,0.03,392.0,2388.0,100.0,38.94,233.353,0
0.0005,-0.0003,100.0,518.67,642.33,1591.38,1400.36,554.96,2388.04,9050.97,47.25,521.92,2388.07,8129.7,84.148,0.03,392.0,2388.0,100.0,39.02,234.999,0
-0.0042,-0.0004,100.0,518.67,642.71,1588.4,1402.43,554.61,2388.04,9047.13,47.28,521.91,2388.08,8134.42,83.753,0.03,392.0,2388.0,100.0,38.83,233.506,0
0.0015,-0.0001,100.0,518.67,642.54,1581.47,1400.48,554.3,2388.03,9046.46,47.47,521.7,2388.09,8126.61,84.349,0.03,392.0,2388.0,100.0,38.81,233.092,0
0.0003,0.0002,100.0,518.67,642.44,1590.0,1403.0,554.3,2388.04,9045.76,47.31,521.75,2388.01,8140.17,8.443,0.03,391.0,2388.0,100.0,39.13,234.164,0
-0.0004,-0.0002,100.0,518.67,642.54,1581.72,1405.54,554.53,2388.01,9044.56,47.25,522.32,2388.04,8132.48,84.246,0.03,392.0,2388.0,100.0,38.86,234.308,0
-0.0004,-0.0,100.0,518.67,641.99,1579.11,1398.9,554.63,2388.07,9055.44,47.29,522.29,2388.04,8131.95,84.142,0.03,392.0,2388.0,100.0,38.99,234.352,0
-0.0018,-0.0002,100.0,518.67,641.93,1589.6,1399.5,554.7,2388.08,9055.27,47.27,522.42,2388.08,8136.61,84.158,0.03,392.0,2388.0,100.0,39.06,234.768,0
-0.003,-0.0001,100.0,518.67,642.01,1583.21,1400.69,553.97,2388.02,9051.76,47.12,522.23,2388.05,8131.81,8.414,0.03,392.0,2388.0,100.0,38.7,233.699,0
-0.0,-0.0004,100.0,518.67,642.24,1582.08,1401.77,554.57,2388.06,9052.98,47.33,521.84,2388.01,8131.03,83.784,0.03,392.0,2388.0,100.0,38.84,233.769,0
0.0033,0.0004,100.0,518.67,642.4,1591.31,1403.21,553.72,2388.06,9048.99,47.09,522.07,2388.03,8138.08,8.437,0.03,392.0,2388.0,100.0,39.13,234.444,0
0.0005,-0.0004,100.0,518.67,642.12,1584.66,1401.38,553.94,2388.08,9057.06,47.49,522.23,2388.05,8130.88,84.137,0.03,392.0,2388.0,100.0,39.0,23.375,0
-0.0027,0.0005,100.0,518.67,642.24,1591.52,1406.05,553.68,2388.03,9057.88,47.32,522.74,2388.09,8127.22,84.068,0.03,392.0,2388.0,100.0,38.99,233.148,0
-0.0001,0.0002,100.0,518.67,641.93,1586.94,1401.2,554.15,2388.04,9046.87,47.45,522.3,2388.0,8131.45,84.201,0.03,392.0,2388.0,100.0,39.06,234.753,0
-0.0013,-0.0,100.0,518.67,642.53,1582.42,1399.16,553.83,2388.08,9060.32,47.45,521.73,2388.05,8128.31,84.099,0.03,393.0,2388.0,100.0,38.79,233.943,0
0.0003,0.0001,100.0,518.67,642.43,1588.29,1401.27,553.76,2388.06,9060.38,47.2,522.02,2388.08,8128.71,83.977,0.03,393.0,2388.0,100.0,38.93,233.745,0
0.0,0.0005,100.0,518.67,642.21,1580.32,1402.89,554.38,2388.06,9052.04,47.22,521.84,2388.05,8126.21,83.973,0.03,392.0,2388.0,100.0,38.99,234.873,0
